	group	names	scores	logfoldchanges	pvals	pvals_adj
9015	Root hair	AT3G12540	16.70785	5.710122	1.1490552155484708e-62	1.1023807826193738e-60
9016	Root hair	AT1G70770	16.705637	1.723168	1.1924659874669114e-62	1.1393202811119045e-60
9017	Root hair	AT5G20080	16.68922	2.2499254	1.570085845890786e-62	1.4878646156753626e-60
9018	Root hair	AT4G25570	16.661224	1.1973438	2.508382245441165e-62	2.3673622192035582e-60
9933	Stele	AT1G62480	69.62542	21.141289	0.0	0.0
9934	Stele	AT1G12080	57.64518	9.745123	0.0	0.0
9935	Stele	AT4G11210	56.84308	8.045453	0.0	0.0
9936	Stele	AT2G02130	52.90126	8.966913	0.0	0.0
9937	Stele	AT1G75750	49.296783	8.488572	0.0	0.0
9938	Stele	AT4G34050	48.9967	7.2647047	0.0	0.0
9939	Stele	AT3G14990	44.541428	4.335513	0.0	0.0
9940	Stele	AT4G13940	42.82467	3.7604961	0.0	0.0
9941	Stele	AT4G26320	42.589153	4.622726	0.0	0.0
9942	Stele	AT5G56540	39.668716	4.33981	0.0	0.0
9943	Stele	AT3G59370	39.48926	6.9848924	0.0	0.0
9944	Stele	AT1G20440	39.350517	7.9874616	0.0	0.0
9945	Stele	AT1G13440	39.331455	3.21664	0.0	0.0
9946	Stele	AT5G17920	38.404697	3.474118	0.0	0.0
9947	Stele	AT1G02500	36.619225	3.5504243	1.4141972771706588e-293	1.9313775402394815e-290
9948	Stele	AT4G14130	35.935036	5.3486266	8.670619971239333e-283	1.0595041256434925e-279
9949	Stele	AT4G22212	34.626957	4.7435327	9.929541914614629e-263	1.0977817839600374e-259
9950	Stele	AT2G37040	34.143295	2.4402492	1.6814053279339352e-255	1.774417613574644e-252
9951	Stele	AT2G30860	32.433456	4.054828	9.268901730985925e-231	8.607843659532008e-228
9952	Stele	AT3G03780	32.132816	3.2741365	1.5351320914948066e-226	1.3708139141628816e-223
9953	Stele	AT2G13820	31.194344	4.8412952	1.2712814474415561e-213	1.0177703919051933e-210
9954	Stele	AT3G19450	30.500683	1.7687197	2.55211899650937e-204	1.9113724755470336e-201
9955	Stele	AT4G21960	29.39502	2.6792314	6.358717453182355e-190	4.100842864181521e-187
9956	Stele	AT4G18510	28.211754	7.2431984	4.1958297561730016e-175	2.632826471596448e-172
9957	Stele	ATCG01130	27.300356	2.6132843	4.200527431907875e-164	2.3786254972342714e-161
9958	Stele	AT1G55330	27.149157	1.8191348	2.5907437057893536e-162	1.398820851565382e-159
9959	Stele	AT4G14010	26.901758	4.2506003	2.0946225731551272e-159	1.0806856062431686e-156
9960	Stele	AT3G14310	26.267815	3.2927814	4.474209556687013e-152	2.1641192349500496e-149
9961	Stele	AT5G03300	26.166891	2.820587	6.331498244365752e-151	2.999967239580401e-148
9962	Stele	AT2G36880	25.933098	2.078765	2.8208009338817813e-148	1.3098107056386662e-145
9963	Stele	AT4G13930	25.05733	1.8233557	1.452587776300173e-138	5.716056000400189e-136
9964	Stele	AT2G40890	24.329977	2.2353523	9.4459556576587e-131	3.5372056855461623e-128
9965	Stele	AT5G60390	23.905354	1.8793199	2.6942413588721027e-126	9.623415635220556e-124
9966	Stele	AT2G45470	23.730148	4.4237137	1.761688275673291e-124	6.197138893379818e-122
9967	Stele	AT1G48600	22.834389	2.9448729	2.088915257021013e-115	6.466446069634248e-113
9968	Stele	AT2G43910	22.612965	3.4931834	3.2309408578384365e-113	9.7419160904461e-111
9969	Stele	AT2G30490	22.446672	1.701418	1.3791556145445934e-111	4.053146316820484e-109
9970	Stele	AT1G22410	22.421066	1.8704796	2.452444157049329e-111	7.117299499276784e-109
9971	Stele	AT5G53250	22.362492	1.790473	9.127174195360728e-111	2.5842146743132928e-108
9972	Stele	AT3G21770	22.016233	4.1874733	2.0131624462222122e-107	5.372366955625414e-105
9973	Stele	AT2G45820	21.830997	1.3896655	1.178226331412551e-105	3.073582105214067e-103
9974	Stele	AT3G09820	21.548002	2.2750626	5.528177856255576e-103	1.3800828525665132e-100
9975	Stele	AT5G09810	21.532366	1.8720922	7.747589162211455e-103	1.9135721019049292e-100
9976	Stele	AT1G52760	21.469381	1.6695175	3.009967214330216e-102	7.204372042794292e-100
9977	Stele	AT3G17820	21.05728	1.4190364	1.961170163888387e-98	4.3781238168266034e-96
